endTime,artistName,trackName,msPlayed
2023-06-28 03:03,XTC,Then She Appeared - 2001 Remaster,1439
2023-06-28 03:03,Wham!,Wake Me Up Before You Go-Go,1973
2023-06-28 03:03,The Beach Boys,Be True To Your School,3274
2023-06-28 03:03,Claudine Longet,God Only Knows,2391
2023-06-28 03:03,Paul Simon,Me and Julio Down by the Schoolyard,1625
2023-06-28 03:03,Yusuf / Cat Stevens,Peace Train,1764
2023-06-28 03:03,Nena,99 Luftballons,33134
2023-06-28 03:03,The Waitresses,Christmas Wrapping,1857
2023-06-28 03:03,Ella Fitzgerald,I Can't Get Started,1880
2023-06-28 03:03,Carole King,Where You Lead I Will Follow - Live,3390
2023-06-28 03:04,Grant-Lee Phillips,Lily-A-Passion,32531
2023-06-28 03:04,Sam Phillips,If I Could Write,2647
2023-06-28 03:04,Talking Heads,Burning Down the House,4040
2023-06-28 03:04,The Smiths,Rusholme Ruffians - 2011 Remaster,13119
2023-06-28 03:05,Rosemary Clooney,Come On-A My House,2507
2023-06-28 03:05,The Drifters,Under the Boardwalk,2716
2023-06-28 03:05,Linda Perhacs,Chimacum Rain,5665
2023-06-28 03:05,Audrey Hepburn,Moon River (From Breakfast at Tiffany's) [Remastered],3366
2023-06-28 03:05,Dean Martin,Ain't That A Kick In The Head,2414
2023-06-28 03:05,Stealers Wheel,Stuck In The Middle With You,1718
2023-06-28 03:05,Dooley Wilson,As Time Goes By,22778
2023-06-28 03:05,Katrina & The Waves,Walking On Sunshine,1834
2023-06-28 03:05,Talking Heads,Burning Down the House - Live,14210
2023-06-28 03:05,Roy Etzel,Mitternachts-Blues,2113
2023-06-28 03:06,Aveo,Dust That Dreams of Brooms,2159
2023-06-28 03:06,The Champs,Tequila,12399
2023-06-28 03:06,Lyrics Born,Do That There Meledy,5804
2023-06-28 03:10,Judy Garland,The Man That Got Away,260906
2023-06-28 11:08,Sparks,Suburban Homeboy,23843
2023-06-28 12:14,Sparks,Suburban Homeboy,2995
2023-06-28 12:14,Sparks,Perfume,1323
2023-06-28 12:14,Mazzy Star,Fade Into You,1253
2023-06-28 12:14,John Lennon,Oh My Love - Remastered 2010,1346
2023-06-28 12:14,Merle Haggard,Mama Tried,2020
2023-06-28 12:15,Daft Punk,Around the World,1555
2023-06-28 12:15,Sam Cooke,Chain Gang,39264
2023-06-28 12:16,Claudine Longet,I Think It's Gonna Rain Today - Single Version,73421
2023-06-28 12:16,Sparks,Angst In My Pants,3529
2023-06-28 12:16,Sonic Youth,What A Waste,4179
2023-06-28 12:18,Jay & The Americans,Come A Little Bit Closer,126223
2023-06-28 12:18,Bon Jovi,Livin' On A Prayer,14767
2023-06-28 12:19,Altered Images,Happy Birthday,1834
2023-06-28 12:19,Creedence Clearwater Revival,Proud Mary,1787
2023-06-28 12:19,Wilco,My Darling,2623
2023-06-28 12:19,Sister Sledge,We Are Family - 1995 Remaster,2786
2023-06-28 12:20,John Lennon,Happy Xmas (War Is Over) - Remastered 2010,59907
2023-06-28 12:20,Creedence Clearwater Revival,Proud Mary,3691
2023-06-28 12:22,Drake,Fair Trade (with Travis Scott),158081
2023-06-28 12:22,Drake,Fair Trade (with Travis Scott),8730
2023-06-28 12:27,The 1975,About You,278012
2023-06-28 12:29,The Neighbourhood,You Get Me So High,90627
2023-06-28 12:36,Justin Timberlake,What Goes Around.../...Comes Around (Interlude),448573
2023-06-28 12:40,Justin Timberlake,What Goes Around.../...Comes Around (Interlude),140690
2023-06-28 12:41,Justin Timberlake,What Goes Around.../...Comes Around (Interlude),95370
2023-06-28 12:44,Rakhim,Fendi,128780
2023-06-28 12:45,Rakhim,Fendi,73199
2023-06-28 12:47,Kravz,Обнуляй,114250
2023-06-28 12:47,Kravz,Обнуляй,4350
2023-06-28 12:49,Rihanna,Man Down,93610
2023-06-28 17:14,Rihanna,Man Down,2830
2023-06-28 17:14,Rihanna,Man Down,3761
2023-06-28 17:14,Rihanna,Man Down,730
2023-06-28 17:17,Sam Phillips,How to Dream,187506
2023-06-28 17:20,The La's,There She Goes,162160
2023-06-28 17:24,Cyndi Lauper,Girls Just Want to Have Fun,238266
2023-06-28 17:27,The La's,There She Goes,3560
2023-06-28 17:27,Björk,Human Behaviour,164816
2023-06-28 17:29,Nat King Cole,"Those Lazy, Hazy, Crazy Days Of Summer",145013
2023-06-28 17:32,Doris Day,"Que Sera Sera (Whatever Will Be, Will Be) [From ""The Man Who Knew Too Much""] (with Frank DeVol & His Orchestra)",124880
2023-06-28 17:33,Sam Phillips,How to Dream,80376
2023-06-28 17:34,Ella Fitzgerald,I Can't Get Started,95420
2023-06-28 17:38,Katrina & The Waves,Walking On Sunshine,238733
2023-06-28 17:42,Linda Perhacs,Chimacum Rain,231860
2023-06-28 17:45,The Drifters,Under the Boardwalk,161960
2023-06-28 17:46,Aveo,Dust That Dreams of Brooms,1150
2023-06-28 17:46,The Champs,Tequila,80246
2023-06-28 17:46,Lyrics Born,Do That There Meledy,680
2023-06-28 17:48,Aveo,Dust That Dreams of Brooms,94960
2023-06-28 17:48,Lyrics Born,Do That There Meledy,870
2023-06-28 17:52,Judy Garland,The Man That Got Away,260906
2023-06-28 17:55,Sparks,Suburban Homeboy,180733
2023-06-28 17:56,The La's,There She Goes,3640
2023-06-28 17:56,Sparks,Perfume,15800
2023-06-28 17:58,Justin Timberlake,What Goes Around.../...Comes Around (Interlude),153260
2023-06-28 18:05,thankunext,24 songs - i fell on my face got up on my own,860
2023-06-28 18:06,Jerry Garcia Acoustic Band,I've Been All Around This World - Live,10630
2023-06-28 18:09,thankunext,24 songs - i fell on my face got up on my own,190498
2023-06-28 18:12,thankunext,24 songs - i fell on my face got up on my own,190498
2023-06-28 18:15,thankunext,24 songs - i fell on my face got up on my own,190498
2023-06-28 18:16,thankunext,24 songs - i fell on my face got up on my own,31185
2023-06-28 18:20,Drake,Fair Trade (with Travis Scott),291175
2023-06-28 18:21,Jerry Garcia Acoustic Band,I've Been All Around This World - Live,6120
2023-06-28 18:21,Drake,Fair Trade (with Travis Scott),9504
2023-06-28 18:24,Linda Perhacs,Chimacum Rain,204773
2023-06-28 18:28,Linda Perhacs,Chimacum Rain,204773
2023-06-28 18:30,Linda Perhacs,Chimacum Rain,122463
2023-06-28 18:32,The Neighbourhood,You Get Me So High,145540
2023-06-28 18:45,Rihanna,Man Down,5413
2023-06-28 18:45,Rihanna,Man Down,266986
2023-06-28 18:50,The 1975,About You,326490
2023-06-28 18:56,The 1975,About You,326490
2023-06-28 18:58,The Neighbourhood,You Get Me So High,5800
2023-06-28 18:58,The 1975,About You,149568
2023-06-28 19:02,Rihanna,Man Down,238960
2023-06-28 19:06,bôa,Duvet,203600
2023-06-28 19:09,bôa,Duvet,203600
2023-06-28 19:13,bôa,Duvet,203600
2023-06-28 19:22,bôa,Duvet,203600
2023-06-28 19:22,bôa,Duvet,17340
2023-06-28 21:12,The La's,There She Goes,53661
2023-06-28 21:12,Sam Phillips,Where The Colors Don't Go,1208
2023-06-28 21:12,Cyndi Lauper,Girls Just Want to Have Fun,2647
2023-06-28 21:14,Björk,Human Behaviour,114358
2023-06-28 21:15,Nancy Sinatra,These Boots Are Made for Walkin',66107
2023-06-28 21:16,The 5th Dimension,Wedding Bell Blues,59559
2023-06-28 21:19,The Dream Academy,"Please, Please, Please Let Me Get What I Want",179002
2023-06-28 21:22,Sam Phillips,If I Could Write,138066
2023-06-28 21:23,Doris Day,"Que Sera Sera (Whatever Will Be, Will Be) [From ""The Man Who Knew Too Much""] (with Frank DeVol & His Orchestra)",1393
2023-06-28 21:23,Sam Phillips,Taking Pictures,2205
2023-06-28 21:23,Sam Phillips,Love Is Everywhere I Go,43849
2023-06-28 21:23,Carole King,Where You Lead,2902
2023-06-28 21:23,Nat King Cole,"Those Lazy, Hazy, Crazy Days Of Summer",2995
2023-06-28 21:23,The Neighbourhood,You Get Me So High,626
2023-06-28 21:23,Sam Phillips,How to Dream,1880
2023-06-28 21:23,Drake,Fair Trade (with Travis Scott),2809
2023-06-28 21:23,Grant-Lee Phillips,Mona Lisa,2972
2023-06-28 21:23,Justin Timberlake,Rock Your Body,11029
2023-06-28 21:24,Shoreline Mafia,"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",1578
2023-06-28 21:24,ScHoolboy Q,Collard Greens,1439
2023-06-28 21:24,21 Savage,out for the night,2020
2023-06-28 21:24,Rihanna,Man Down,4899
2023-06-28 21:24,Justin Timberlake,What Goes Around.../...Comes Around (Interlude),38475
2023-06-28 21:24,ScHoolboy Q,Studio,5712
2023-06-28 21:24,Drake,Fancy,1184
2023-06-28 21:26,Linda Perhacs,Chimacum Rain,138042
2023-06-28 21:26,Jerry Garcia Acoustic Band,I've Been All Around This World - Live,7500
2023-06-28 21:26,The 1975,About You,7416
2023-06-28 21:27,Don Toliver,Had Enough (feat. Quavo & Offset),1728
2023-06-28 21:27,Kanye West,Can't Tell Me Nothing,8277
2023-06-28 21:27,The Weeknd,Stargirl Interlude,2773
2023-06-28 21:27,Michel Colombier,Mistress Arrives,3882
2023-06-28 21:27,A Boogie Wit da Hoodie,Look Back at It,2176
2023-06-28 21:27,Drake,Toosie Slide,7125
2023-06-28 21:27,SZA,Low,1791
2023-06-28 21:27,El Completo Rd,Blim Blim Blam Blam,3584
2023-06-28 21:27,ROSALÍA,"Yo x Ti, Tu x Mi",6528
2023-06-28 21:27,Tory Lanez,Broke In A Minute,2965
2023-06-28 21:27,DripReport,Skechers,4074
2023-06-28 21:27,PinkPantheress,Boy's a liar Pt. 2,1834
2023-06-28 21:27,Bad Bunny,Vete,3797
2023-06-28 21:29,Lupe Fiasco,Superstar (feat. Matthew Santos),98325
2023-06-28 21:30,Rihanna,Sex With Me,79018
2023-06-28 21:32,Shoreline Mafia,"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",1408
2023-06-28 21:32,Meek Mill,Going Bad (feat. Drake),1471
2023-06-28 21:32,Lil Wayne,Mrs. Officer,101790
2023-06-28 21:32,USHER,Confessions Part II,2410
2023-06-28 21:32,T-Pain,I'm Sprung,7296
2023-06-28 21:33,Offset,Red Room,15509
2023-06-28 21:34,SZA,Kill Bill,9791
2023-06-28 21:34,Megan Thee Stallion,Sweetest Pie,2901
2023-06-28 21:34,ScHoolboy Q,CrasH,4288
2023-06-28 21:34,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),1280
2023-06-28 21:34,Fred again..,Delilah (pull me out of this),1920
2023-06-28 21:34,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),95594
2023-06-28 21:35,Frank Ocean,Nights,37695
